Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G-PK	PK	PKatt	CrdY	CrdR	Gls/90	Ast/90	G+A/90	G-PK/90	G+A-PK/90	xG	npxG	xA	npxG+xA	xG/90	xA/90	xG+xA/90	npxG/90	npxG+xA/90
1	Tammy Abraham	eng ENG	FW	Roma	23	1997	37	36	3084	34.3	17	4	14	3	3	9	0	0.5	0.12	0.61	0.41	0.53	20.5	18.3	3.6	21.8	0.6	0.1	0.7	0.53	0.64
2	Francesco Acerbi	it ITA	DF	Lazio	33	1988	30	29	2536	28.2	4	0	4	0	0	2	1	0.14	0	0.14	0.14	0.14	2.2	2.2	0.4	2.6	0.08	0.02	0.09	0.08	0.09
3	Michel Aebischer	ch SUI	MF	Bologna	24	1997	12	4	443	4.9	0	0	0	0	0	1	0	0	0	0	0	0	0.1	0.1	0.4	0.5	0.03	0.08	0.11	0.03	0.11
4	Felix Afena-Gyan	gh GHA	FWMF	Roma	18	2003	17	6	668	7.4	2	0	2	0	0	5	1	0.27	0	0.27	0.27	0.27	1.9	1.9	0.2	2.1	0.25	0.03	0.28	0.25	0.28
5	Kevin Agudelo	co COL	MFFW	Spezia	22	1998	23	12	1237	13.7	3	1	3	0	0	2	1	0.22	0.07	0.29	0.22	0.29	2.5	2.5	0.8	3.3	0.18	0.06	0.24	0.18	0.24
6	Ola Aina	ng NGA	DF	Torino	24	1996	21	17	1437	16	0	0	0	0	0	4	0	0	0	0	0	0	0.3	0.3	1.4	1.7	0.02	0.09	0.11	0.02	0.11
7	Marley Aké	fr FRA	MFFW	Juventus	20	2001	4	0	77	0.9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	Jean-Daniel Akpa-Akpro	ci CIV	MF	Lazio	28	1992	10	4	315	3.5	0	0	0	0	0	1	0	0	0	0	0	0	0.4	0.4	0	0.5	0.12	0.01	0.13	0.12	0.13
9	Luis Alberto	es ESP	MF	Lazio	28	1992	34	27	2353	26.1	5	9	5	0	0	5	0	0.19	0.34	0.54	0.19	0.54	3.5	3.5	7.8	11.3	0.14	0.3	0.43	0.14	0.43
10	Giorgio Altare	it ITA	DF	Cagliari	22	1998	19	17	1466	16.3	1	0	1	0	0	5	0	0.06	0	0.06	0.06	0.06	1.3	1.3	0.5	1.8	0.08	0.03	0.11	0.08	0.11
11	Wisdom Amey	it ITA	DF	Bologna	15	2005	1	1	71	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	Kelvin Amian	fr FRA	DF	Spezia	23	1998	32	31	2646	29.4	1	1	1	0	0	9	2	0.03	0.03	0.07	0.03	0.07	2.4	2.4	1.2	3.6	0.08	0.04	0.12	0.08	0.12
